_seg_id,x,y,protein_0,protein_1,protein_2,protein_3,protein_4,protein_5,protein_6,protein_7,protein_8,protein_9,protein_10,protein_11,protein_12,protein_13,protein_14,protein_15,protein_16,protein_17,cell_type,region_type,cell_type_id,region_type_id,neighbor_label
136308,1084.4680000000008,1670.004,7.315677966,23.0190678,9.980932203,4.188559322,3.559322034,378.4555085,0.0,0.063559322,341.1059322,0.419491525,253.6949153,137.5614407,0.427966102,0.006355932,0.0,0.016949153,348.8199153,136.9491525,immune,core,0,0,0
136309,1360.05105,1672.069069,13.22341697,38.80167264,3.70609319,1.922341697,5.339307049,272.3333333,0.021505376,1.734767025,172.2998805,6.034647551,38.23058542,96.75507766,52.95340502,6.327359618,0.540023895,0.193548387,24.71804062,342.0812425,immune,core,0,0,0
136310,1628.6900000000005,1666.38,12.18802228,18.58635097,13.67409471,14.73398329,9.498607242,72.63231198,16.64066852,12.76740947,47.7367688,26.99582173,13.58635097,53.62116992,22.97910864,45.04874652,0.006963788,0.0,0.0,1230.795265,immune,core,0,0,0
136350,367.9423100000004,1670.6698720000004,9.176363636,958.7872727,0.0,0.0,21.33818182,423.8836364,0.0,0.690909091,251.8690909,27.51090909,122.7472727,150.8363636,0.0,0.532727273,0.0,0.0,404.5436364,189.72,immune,core,0,0,0
136351,1019.6447700000008,1671.8126519999996,6.880116959,255.4897661,1.198830409,0.058479532,31.51461988,354.1812865,0.0,0.956140351,235.4444444,0.0,4.081871345,155.0116959,0.874269006,2.707602339,0.0,0.0,183.8494152,275.2733918,immune,core,0,0,0
136352,1839.2158299999992,1669.0899280000003,18.11623932,56.44615385,6.654700855,1.358974359,2.972649573,300.1435897,0.0,0.666666667,251.6068376,37.84615385,9.64957265,74.27521368,88.56410256,30.45299145,0.0,0.0,326.6871795,47.3008547,immune,core,0,0,0
136381,51.02215000000069,1672.8670890000003,2.825242718,64.80970874,0.8,0.357281553,1.495145631,326.3572816,157.0504854,0.425242718,163.8407767,37.50679612,121.6368932,58.2776699,11.20776699,69.42912621,6.040776699,2.481553398,97.93009709,35.52427184,immune,core,0,0,0
136382,510.2093499999992,1671.2662600000003,21.46165192,13.57817109,6.359882006,4.856932153,3.915929204,388.3820059,0.0,0.238938053,327.9439528,8.753687316,61.82890855,260.4262537,1.135693215,0.001474926,1.255162242,2.638643068,186.5309735,59.2699115,immune,core,0,0,0
136383,541.0810799999999,1664.6216219999997,33.62254902,13.93137255,4.529411765,1.730392157,18.35643564,281.2376238,0.0,0.297029703,214.6237624,6.287128713,11.25,109.0566038,0.278301887,0.433962264,0.0,0.0,347.6132075,21.03773585,immune,core,0,0,0
136384,788.5955099999992,1672.2050559999998,26.42666667,21.35428571,5.066666667,3.758095238,3.811428571,393.007619,0.0,1.617142857,279.0933333,0.0,0.51047619,227.8914286,0.0,0.0,1.276190476,0.782857143,38.88,154.472381,immune,core,0,0,0
